Game name,OpenWorldness,Combat-oriented,Animation
Wallpaper Engine,0,0,10
Rocket League,0,1,3
Valheim,10,8,5
New World,10,8,3
Dota 2,0,10,3
Vampire Survivors,0,7,5
PUBG: BATTLEGROUNDS,7,10,1
Terraria,10,7,6
ELDEN RING,10,10,1
Lost Ark,8,7,8
Tom Clancy's Rainbow Six Siege,0,10,0
Elite Dangerous,10,5,5
Apex Legends,7,10,5
Ark: Survival Evolved,10,7,3
LET IT DIE,3,7,6
Doom,4,10,1
7 Days to Die,10,10,1
No Man's Sky,10,5,8
Deep Rock Galactic,3,9,8
Monster Hunter: World,6,9,9
Eternal Return,3,7,10
Bloons TD 6,0,8,8
Phasmophobia,5,6,3
Destiny 2,8,10,8
Cookie Clicker,0,2,2
Red Dead Redemtion 2,10,9,1
Fallout 4,10,9,0
Fall Guys,0,2,10
Stardew Valley,4,3,4
Portal,3,2,1
Tabletop Simulator,2,2,2
Raft,8,3,6
Starbound,10,6,10
Cyberpunk 2077,10,8,5
Undertale,5,8,10
Yakuza 0,7,9,7
Plants vs. Zombies: Game of the Year,0,8,8
Persona 5 Strikers,8,10,8
SWORD ART ONLINE Alicization Lycoris,10,7,4
Junk Jack,6,6,7
Sea of Thieves,10,6,9
Aim Labs,0,10,5
FTL: Faster Than Light,0,8,6
HELLDIVERS™ 2,9,10,8
